Date,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-09-12,,,,,
2022-09-13,,,,,
2022-09-14,,,,,
2022-09-15,,,,,
2022-09-16,,,,,
2022-09-19,,,,,
2022-09-20,,,,,
2022-09-21,,,,,
2022-09-22,,,,,
2022-09-23,,,,,
2022-09-26,,,,,
2022-09-27,,,,,
2022-09-28,,,,,
2022-09-29,,,,,
2022-09-30,,,,,
2022-10-03,,,,,
2022-10-04,,,,,
2022-10-06,,,,,
2022-10-07,,,,,
2022-10-10,8439.208725076907,8958.320019499999,9477.43131392309,11.589478681116942,0.40761169181784135
2022-10-11,8413.482569806465,8946.1450195,9478.807469193534,11.90820065027976,0.2540706796107571
2022-10-12,8389.586558281731,8934.14999995,9478.713441618267,12.19060440380597,0.2727074827208113
2022-10-13,8360.126534618696,8918.267480450002,9476.408426281308,12.51680210432853,0.25927435761788814
2022-10-14,8332.645654539969,8888.644970700001,9444.644286860033,12.51032790695984,0.2559842630976369
2022-10-17,8322.877552574171,8865.3524414,9407.82733022583,12.238089628395247,0.36953070149810413
2022-10-18,8333.561048274218,8841.677441400001,9349.793834525784,11.493665008555835,0.46622050295521317
2022-10-19,8348.247135325657,8812.6024414,9276.957747474344,10.53843763319872,0.39958892341689994
2022-10-20,8364.838708840376,8785.5774414,9206.316173959625,9.57794146977729,0.40709549139391077
2022-10-21,8438.34079704689,8750.6499512,9062.959105353108,7.137964743071016,0.42419347052378537
2022-10-24,8566.967680247313,8721.749951200001,8876.53222215269,3.5493397957686703,0.6411668259259352
2022-10-25,8537.504831791073,8730.25244145,8923.000051108927,4.415625113972393,1.212713270572263
2022-10-27,8508.102579998524,8743.64746095,8979.192341901477,5.387794556069268,1.1332184610529732
2022-10-28,8379.779849162604,8781.937451200001,9184.095053237399,9.15874439489307,1.3834998396150142
2022-10-31,8317.321820819177,8827.0749512,9336.828081580823,11.54976327263482,1.187121486901569
2022-11-01,8279.881141264885,8858.397412100001,9436.913682935117,13.061420569027538,1.0152855908783283
2022-11-02,8311.002732693372,8892.517431650002,9474.03213060663,13.078741839446234,0.7896598830213948
2022-11-03,8327.485293154063,8919.9474121,9512.409531045938,13.283982328018137,0.7693439687484249
2022-11-04,8347.949201036241,8946.272412100001,9544.595623163761,13.375922026575374,0.7366844396663537
2022-11-07,8358.118818756482,8973.9824219,9589.846025043518,13.725536204318203,0.79171831332941
2022-11-09,8368.322004263277,8993.53740235,9618.752800436725,13.903659263669848,0.7078984286419795
2022-11-10,8404.114537636757,9014.1923828,9624.270227963243,13.535940198643509,0.5680713271744655
2022-11-11,8442.462718528988,9034.2398926,9626.017066671013,13.100762899947796,0.5450422175235868
2022-11-14,8492.9305596964,9059.3798828,9625.8292059036,12.505255998350428,0.5820635866335013
2022-11-15,8556.603095600543,9086.6249023,9616.646708999457,11.665977464642518,0.5712945125509276
2022-11-16,8603.82238595911,9107.1824218,9610.54245764089,11.054133156177675,0.527582417378062
2022-11-17,8628.299500060937,9116.1374511,9603.975402139062,10.702733556967097,0.36707957445318184
2022-11-18,8652.778561471643,9122.572460899999,9592.366360328355,10.29959260815798,0.2078264998395712
2022-11-21,8684.108525067568,9130.4624511,9576.816377132433,9.777246846432352,0.2028565890997376
2022-11-22,8719.90505694129,9138.984960849999,9558.064864758708,9.171257107960727,0.1835508474921085
2022-11-23,8752.723170794017,9147.4374511,9542.151731405984,8.630051474328868,0.230263811414511
2022-11-24,8747.758997198374,9145.54243155,9543.325865901626,8.698957712543445,0.27570355230999555
2022-11-25,8745.348889090861,9144.419921800001,9543.490954509141,8.728186940710536,0.34348660819608
2022-11-28,8748.246805548015,9119.0624511,9489.878096651986,8.132758110615976,0.3197728956378907
2022-11-29,8757.985591995634,9088.1924804,9418.399368804365,7.26672303907525,0.2304836881809179
2022-11-30,8776.979216213946,9064.1700195,9351.360822786053,6.336836195001027,0.3432755724243423
2022-12-01,8770.374386092584,9050.6075195,9330.840652907415,6.19258172014726,0.3350353375851849
2022-12-02,8745.445714602985,9029.445019499999,9313.444324397013,6.290515181911811,0.12395082167990848
2022-12-05,8721.200589024766,9007.57250975,9293.944430475234,6.3584705072373024,0.12370140165245598
2022-12-06,8705.037732005194,8976.77499995,9248.512267894805,6.0542292292347515,0.022654008940186373
2022-12-07,8672.885381009388,8947.0575195,9221.229657990612,6.128766645191618,-0.025048114088111344
2022-12-08,8638.376475912191,8926.33002925,9214.28358258781,6.45177922828837,0.07696331330874429
2022-12-09,8594.299445867238,8902.62001945,9210.940593032761,6.926513159253299,0.03089343489374525
2022-12-12,8574.742239277233,8877.990039,9181.237838722767,6.83145167747731,0.1401622052995635
2022-12-13,8557.467367775474,8850.915039000001,9144.362710224528,6.630900193516744,0.10774123195570251
2022-12-14,8550.013942553536,8826.2475097,9102.481076846465,6.259365984080666,0.16577577336555924
2022-12-15,8521.043489201431,8806.132519499999,9091.221549798567,6.474784013692202,0.11067928803236954
2022-12-16,8471.579341958968,8788.0200195,9104.460697041031,7.201637612087182,0.02246939797932348
2022-12-19,8450.847486787052,8774.9524902,9099.057493612947,7.38704861991932,0.23603788988411023
2022-12-20,8419.205338508898,8757.48247065,9095.759602791102,7.7254424036773255,0.15541143710424485
2022-12-21,8356.934229358674,8728.277490199998,9099.620751041322,8.508970097668497,-0.008797572283756766
2022-12-22,8304.822780293409,8696.6399902,9088.45720010659,9.01077221428318,0.03767934123367262
2022-12-23,8220.796175445708,8652.744995099998,9084.693814754288,9.98408759067556,-0.09167298744917625
2022-12-26,8179.859021986738,8616.3149658,9052.770909613262,10.130918972800995,0.08814266835392377
2022-12-27,8151.4624167952,8586.0774658,9020.692514804798,10.123715998043446,0.17715421791929187
2022-12-28,8156.977863800014,8558.422436500001,8959.867009199987,9.38127501133628,0.32890211894499394
2022-12-29,8172.471587407662,8532.3049072,8892.138226992336,8.434609960754946,0.36590304886760855
2022-12-30,8171.509375755493,8511.2424072,8850.975438644506,7.983159571559435,0.32833167898916576
2023-01-02,8174.839563397918,8491.804907200001,8808.770251002084,7.465205507331799,0.3603867837121268
2023-01-03,8172.499362232619,8475.074926750001,8777.650491267384,7.140363173955172,0.34743492605349185
2023-01-04,8172.116300022977,8463.257397450001,8754.398494877025,6.880119172902512,0.43051892569007477
2023-01-05,8178.970535613292,8452.17736815,8725.384200686709,6.464768086060828,0.5163287293497714
2023-01-06,8176.329218658917,8440.66237795,8704.995537241084,6.26332738960429,0.3910228041300013
2023-01-09,8180.9984111038575,8426.52487795,8672.051344796142,5.827466729223586,0.3991455410364491
2023-01-10,8175.142500174259,8410.14738775,8645.15227532574,5.588603308380592,0.25107539686319735
2023-01-11,8176.888731226859,8392.289917049999,8607.69110287314,5.13331135964513,0.24967704648909456
2023-01-12,8184.869649231976,8381.542407249999,8578.215165268022,4.692996788941903,0.4686224661351711
2023-01-13,8186.199775266549,8379.922436550001,8573.645097833452,4.623495330661003,0.6896472874241768
2023-01-16,8204.420727074777,8368.734936550001,8533.049146025225,3.9268589750068514,0.5345821353073944
2023-01-17,8209.69576175988,8366.484936550001,8523.274111340123,3.7480298113050745,0.8599249520927726
2023-01-18,8207.597210040009,8373.667407249999,8539.73760445999,3.966486585464462,0.8624443150319794
2023-01-19,8208.060707671408,8382.03244635,8556.004185028592,4.151063355865421,0.8437855641340394
2023-01-20,8260.990947983328,8396.942431700001,8532.893915416675,3.2381187514977268,0.6576201014080703
2023-01-23,8285.04446659989,8404.9574219,8524.870377200112,2.853386383318621,0.5506291712584828
2023-01-24,8256.934087886959,8424.6249024,8592.315716913043,3.9809680895174404,1.3175012549022957
2023-01-25,8213.334558013798,8442.777392599999,8672.2202271862,5.435245391813971,1.2438066588908165
2023-01-27,8195.000594581908,8457.86240235,8720.724210118091,6.215797686542066,1.0319099035808
2023-01-30,8175.160704959598,8478.9824219,8782.804138840402,7.166466489084206,1.0562761962903169
