Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-12-01,,615.5281599582577,0.02,0,598.5021412691866
2022-12-02,,615.0505972390926,0.02,0,600.0208381315005
2022-12-05,591.650024,,0.02,1,601.5135001904604
2022-12-06,592.17702352,,0.04,0,604.3550679961775
2022-12-07,593.2819420992,,0.04,0,606.944051996942
2022-12-08,594.342663935232,,0.04,0,609.0152391975536
2022-12-09,595.3609568978228,,0.04,0,610.6721889580429
2022-12-12,596.3385181419098,,0.04,0,611.9977487664343
2022-12-13,597.2769769362335,,0.04,0,613.0581966131474
2022-12-14,598.1778973787841,,0.06,0,613.9065548905179
2022-12-15,599.892223536057,,0.08,0,625.5
2022-12-16,,629.549988,0.02,1,624.73600096
2022-12-19,,629.549988,0.02,0,622.597398464
2022-12-20,,629.0009877599999,0.04,0,620.2877077683199
2022-12-21,,627.8229477696,0.06,0,617.9164253207551
2022-12-22,,625.529569463424,0.08,0,613.9938011094343
2022-12-23,,622.4912029463501,0.1,0,610.2869212297362
2022-12-26,,617.3920826517151,0.12000000000000001,0,603.029536983789
2022-12-27,,611.7890341735093,0.12000000000000001,0,574.0
2022-12-28,570.700012,,0.02,1,577.34800288
2022-12-29,571.42601176,,0.04,0,580.7852858368
2022-12-30,573.2889712896,,0.06,0,585.7476381829119
2023-01-02,576.124632292224,,0.06,0,590.7790654699878
2023-01-03,578.7901536346906,,0.06,0,595.3632547759903
2023-01-04,581.2957436966092,,0.06,0,599.0306062207923
2023-01-05,583.6509983548126,,0.06,0,601.9644873766338
2023-01-06,585.8649377335238,,0.06,0,613.700012
2023-01-09,587.9460407495123,,0.06,0,612.91701272
2023-01-10,589.9022775845416,,0.06,0,611.9356536224
2023-01-11,590.599976,,0.06,0,610.25709066016
2023-01-12,,620.549988,0.02,1,608.4442426609407
2023-01-13,,619.94098776,0.02,0,606.5480520484091
2023-01-16,,619.3441675248,0.02,0,604.6843675606636
2023-01-17,,618.759283694304,0.04,0,602.9231857197442
2023-01-18,,617.4509118665319,0.04,0,600.9285509757954
2023-01-19,,616.1948749118707,0.04,0,599.0328431806363
2023-01-20,,614.9890794353959,0.04,0,597.196269744509
2023-01-23,,613.83151577798,0.04,0,589.849976
2023-01-24,,612.7202546668608,0.04,0,590.27397744
2023-01-25,,611.6534440001864,0.06,0,600.450012
2023-01-27,,608.9982388001752,0.08,0,598.545012
2023-01-30,,602.8583796961611,0.1,0,593.8574120000001
2023-01-31,,595.092542926545,0.1,0,588.2916720000001
2023-02-01,,588.1032898338905,0.12000000000000001,0,582.2806728
2023-02-02,,577.4528957738236,0.12000000000000001,0,574.590375248
2023-02-03,,568.0805490009648,0.12000000000000001,0,567.03191136832
2023-02-06,,559.832883840849,0.12000000000000001,0,559.8891630020224
2023-02-07,,558.799988,0.12000000000000001,0,553.381325601618
2023-02-08,499.350006,,0.02,1,527.349976
2023-02-09,500.45300588000003,,0.02,0,527.79797648
2023-02-10,501.53394576240004,,0.04,0,528.7180569408
2023-02-13,503.762587931904,,0.04,0,530.1779728043521
2023-02-14,505.90208441462784,,0.04,0,532.0077340200039
2023-02-15,507.9560010380427,,0.04,0,534.1119594180035
2023-02-16,509.927760996521,,0.04,0,536.3845228478431
2023-02-17,511.82065055666015,,0.04,0,553.049988
2023-02-20,513.6378245343938,,0.04,0,552.16798848
2023-02-21,515.382311553018,,0.04,0,550.5469106112
2023-02-22,,557.25,0.02,1,548.379158722304
2023-02-23,,556.355,0.04,0,545.1762404500737
2023-02-24,,554.55480024,0.04,0,541.7170887160648
2023-02-27,,552.8266084704,0.04,0,538.1656929358157
2023-02-28,,551.167544371584,0.04,0,534.6751782260852
2023-03-01,,549.5748428367206,0.04,0,516.349976
2023-03-02,,548.0458493632517,0.04,0,517.1639774399999
2023-03-03,511.350006,,0.02,1,518.3361395136
2023-03-06,512.40900564,,0.04,0,521.765249312512
2023-03-08,514.6286463744,,0.04,0,525.7587255812608
2023-03-09,516.759501479424,,0.04,0,530.4436770715096
2023-03-10,518.805122380247,,0.04,0,535.2535606014982
2023-03-13,520.7689184450371,,0.04,0,564.799988
2023-03-14,,567.900024,0.02,1,563.40798848
2023-03-15,,566.94202352,0.04,0,561.1275106112
2023-03-16,,564.8863420992,0.06,0,557.641308802304
2023-03-17,,561.851160853248,0.06,0,553.6321767220736
2023-03-20,,558.998090482053,0.06,0,549.3023140754248
2023-03-21,,556.3162043331299,0.06,0,544.8569884248653
2023-03-22,,553.7952313531421,0.06,0,540.4878683568869
2023-03-23,,551.4255167519535,0.08,0,536.3590498926472
2023-03-24,,548.2314754117972,0.1,0,531.6372399141178
2023-03-27,,543.7533290706175,0.12000000000000001,0,526.3797931312943
2023-03-28,,538.6889281421434,0.12000000000000001,0,522.1738357050355
2023-03-29,,534.2322553250862,0.12000000000000001,0,518.8090697640283
2023-03-31,,530.3103832460758,0.12000000000000001,0,505.350006
2023-04-03,501.549988,,0.02,1,507.55800528000003
2023-04-05,502.08898824,,0.02,0,510.2448845408
2023-04-06,502.6172084752,,0.04,0,512.885703014272
2023-04-10,503.860520616192,,0.04,0,515.5432807917031
2023-04-11,505.0541002715443,,0.06,0,517.9646294333625
2023-04-12,506.8928549752517,,0.06,0,520.7916987466899
2023-04-13,508.6212843967366,,0.06,0,523.053354197352
2023-04-17,510.2460080529324,,0.08,0,525.0326857578816
2023-04-18,513.0263274086977,,0.1,0,528.8261486063053
2023-04-19,516.573694667828,,0.1,0,532.2309140850442
2023-04-20,519.7663252010452,,0.1,0,534.9547264680353
2023-04-21,522.6396926809407,,0.1,0,537.1337763744283
2023-04-24,525.2257234128466,,0.12000000000000001,0,538.8770162995427
2023-04-25,528.864635163305,,0.14,0,542.0216082396341
2023-04-26,534.3295896004423,,0.14,0,545.9772841917073
2023-04-27,539.0294504163804,,0.14,0,550.0518225533658
2023-04-28,543.0713307180872,,0.16,0,553.3114532426927
2023-05-02,549.0519197231932,,0.18,0,558.3091601941542
2023-05-03,554.7755698530184,,0.18,0,562.3073257553233
2023-05-04,559.4689629594751,,0.18,0,565.5058582042586
2023-05-05,563.3175453067696,,0.19999999999999998,0,568.4046865634069
2023-05-08,568.3040362454157,,0.19999999999999998,0,570.7237492507255
2023-05-09,,588.25,0.02,1,573.2989946005804
2023-05-10,,587.92699952,0.04,0,583.599976
2023-05-11,,586.9399195392,0.04,0,583.14397744
2023-05-12,,585.992322757632,0.04,0,582.4873395136
2023-05-15,,585.0826298473268,0.04,0,572.200012
2023-05-16,563.25,,0.02,1,572.58801248
2023-05-17,563.79300048,,0.04,0,573.4107310112
2023-05-18,564.8612804608,,0.06,0,586.299988
2023-05-19,566.603605073152,,0.06,0,585.57398944
2023-05-22,568.2413902087629,,0.06,0,584.6640712448
2023-05-23,569.7809082362371,,0.06,0,583.6176653203199
2023-05-24,571.2280551820629,,0.06,0,574.200012
2023-05-25,572.5883733111391,,0.06,0,574.710012
2023-05-26,573.8670723524707,,0.06,0,575.349212
2023-05-29,575.0690494513225,,0.08,0,576.4142908
2023-05-30,576.7755274152167,,0.08,0,578.644575904
2023-05-31,,596.400024,0.02,1,595.0
2023-06-01,,596.0220235200001,0.02,0,594.69699952
2023-06-02,,595.6515830496,0.02,0,594.1031185792
