Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACDcolumn,MACD_Signal,MACD_Histogram
2022-09-12,554.900024,558.599976,551.25,554.900024,544.322449,9677415,,,,
2022-09-13,560.0,560.0,553.75,558.0,547.363342,16707275,,,,
2022-09-14,550.0,574.849976,549.25,571.75,560.851257,21632641,,,,
2022-09-15,572.549988,578.5,567.900024,572.150024,561.243652,12749947,,,,
2022-09-16,569.099976,574.0,560.299988,561.799988,551.090881,14739280,,,,
2022-09-19,560.700012,574.400024,559.549988,572.25,561.341736,11194003,,,,
2022-09-20,577.950012,577.950012,572.849976,574.049988,563.107361,8484017,,,,
2022-09-21,575.0,577.299988,565.400024,569.700012,558.840332,9392526,,,,
2022-09-22,566.75,574.0,562.0,567.299988,556.486084,11869435,,,,
2022-09-23,564.799988,568.0,549.5,550.599976,540.10437,12563239,,,,
2022-09-26,545.799988,549.0,533.0,543.299988,532.943542,16158750,,,,
2022-09-27,544.549988,550.900024,533.200012,536.5,526.273193,11066799,,,,
2022-09-28,532.900024,539.799988,520.349976,524.849976,514.845215,12233485,,,,
2022-09-29,529.0,535.700012,519.549988,521.75,511.804352,17310168,,,,
2022-09-30,524.0,536.900024,516.150024,530.599976,520.485596,17466950,33.35967692203106,,,
2022-10-03,527.599976,531.650024,518.5,519.75,509.842468,9351162,28.380748754726618,,,
2022-10-04,533.0,535.799988,527.799988,532.700012,522.545654,8745887,39.908690418443264,,,
2022-10-06,534.599976,541.799988,534.599976,537.299988,527.057922,9507322,43.39409963076147,,,
2022-10-07,535.5,535.599976,526.549988,530.200012,520.093262,11065307,39.578302574958514,,,
2022-10-10,525.700012,533.900024,522.200012,530.75,520.632813,9649292,40.018304263236175,,,
2022-10-11,530.75,533.700012,525.5,527.400024,517.34668,10825440,38.19386987139768,,,
2022-10-12,530.0,535.0,526.0,533.799988,523.624634,8522604,43.4939790230779,,,
2022-10-13,533.0,533.799988,520.200012,521.450012,511.510071,12972765,36.91537415328019,,,
2022-10-14,530.200012,534.849976,526.0,527.200012,517.150452,8545479,41.36237724206951,,,
2022-10-17,526.400024,544.700012,524.200012,543.650024,533.286926,13485349,51.825160597366484,,,
2022-10-18,547.099976,563.5,546.75,562.450012,551.728516,20440781,60.49971447708013,-6.558040051266403,,
2022-10-19,563.0,563.450012,551.549988,553.400024,542.851074,9540583,55.33439537040153,-4.8978926666534335,,
2022-10-20,552.0,556.799988,545.299988,555.400024,544.812927,11225588,56.223898720239596,-3.381846793618706,,
2022-10-21,557.25,565.799988,557.25,560.849976,550.158997,11767639,58.64098378840125,-1.7207679951599175,,
2022-10-24,567.0,572.5,565.900024,570.5,559.625061,3692065,62.58074903055041,0.3700593938907559,,
2022-10-25,572.5,586.200012,568.0,578.549988,567.521606,19899324,65.5305081253279,2.646119104470131,,
2022-10-27,583.950012,585.0,577.599976,579.650024,568.600647,13613533,65.92579603061372,4.486953725528338,,
2022-10-28,579.950012,582.650024,567.0,570.75,559.8703,10043644,59.93696129074054,5.168096272220396,,
2022-10-31,574.950012,577.450012,568.400024,573.799988,562.862183,9894639,61.236535743826586,5.886163164674713,5.664069369776282,0.22209379489843034
2022-11-01,576.349976,585.75,574.599976,576.900024,565.903076,12069579,62.56570482194708,6.628968722413106,5.12549994201174,1.5034687804013656
2022-11-02,575.900024,578.950012,569.900024,573.849976,562.911194,10241440,60.37229417885035,6.892086413263314,4.310894106289559,2.5811923069737555
2022-11-03,569.0,587.950012,568.0,584.900024,573.75061,17557998,65.14042214551901,7.9011757674821865,4.2559867684067445,3.645188999075442
2022-11-04,586.0,596.950012,580.400024,593.950012,582.628052,25759031,68.48495471704786,9.323667315460057,4.542782653107691,4.780884662352365
2022-11-07,613.0,622.700012,607.700012,614.150024,602.443054,44265903,74.39097194658912,11.943299345181003,5.72993174626291,6.213367598918094
2022-11-09,621.0,621.0,610.549988,615.549988,603.816284,18939854,74.74422618191659,13.971289666527241,6.206337654087317,7.764952012439924
2022-11-10,613.099976,615.099976,602.200012,605.75,594.203125,11618405,67.7037744999416,14.619188571667223,5.48338924738184,9.135799324285383
2022-11-11,617.25,619.549988,598.5,601.299988,589.837952,15525267,64.72252288541837,14.605214522170968,4.375532158308468,10.2296823638625
2022-11-14,603.950012,603.950012,591.650024,592.549988,581.254761,12957268,59.202308480633,13.729819303651993,2.8001095518315946,10.929709751820399
2022-11-15,594.299988,602.099976,592.650024,600.849976,589.396484,10286417,62.472022453354555,13.54961047656559,2.095920579796152,11.453689896769438
2022-11-16,599.950012,603.5,596.0,599.75,588.317505,11555749,61.765524777556216,13.166262335952979,1.3700579513468316,11.796204384606147
2022-11-17,599.099976,602.75,596.150024,599.049988,587.630859,8167131,61.29049019744899,12.660034062413729,0.6910637422460653,11.968970320167664
2022-11-18,601.0,605.75,597.150024,602.700012,591.211304,12933675,62.89303239172602,12.41031258243379,0.3530738098128996,12.05723877262089
2022-11-21,602.099976,602.099976,595.349976,598.099976,586.698914,7412419,59.54720613431172,11.70627934789195,-0.2807675397831524,11.987046887675103
2022-11-22,598.150024,600.700012,596.150024,599.099976,587.679871,8048595,60.04482556976155,11.101053544784804,-0.7087946743122391,11.809848219097043
2022-11-23,601.549988,609.599976,601.0,607.650024,596.066956,12435924,64.10996907593014,11.182421162922765,-0.5019416449394232,11.684362807862188
2022-11-24,609.75,611.299988,605.799988,609.349976,597.734497,8960032,64.87516031763452,11.254344428837953,-0.3440147032193881,11.598359132057341
2022-11-25,610.549988,613.700012,606.25,607.400024,595.821716,9994513,63.21038159863124,11.026888202089594,-0.4571767439741983,11.484064946063793
2022-11-28,605.599976,610.900024,602.349976,608.599976,596.998779,7934274,63.82556479893186,10.818741879684467,-0.5322584531034611,11.351000332787928
2022-11-29,607.099976,611.799988,607.099976,608.549988,596.949768,6942919,63.77771999887521,10.528386124185545,-0.6580913668819068,11.186477491067452
2022-11-30,608.5,611.400024,598.400024,602.450012,590.966064,15606230,58.05830657630323,9.69431004082685,-1.193733960192482,10.888044001019331
2022-12-01,607.849976,609.799988,601.549988,608.099976,596.508301,14209313,61.50198853923983,9.381064539154522,-1.2055835694918482,10.58664810864637
2022-12-02,607.5,609.599976,604.25,607.549988,595.968811,7533838,60.97713718523498,8.984863869306992,-1.281427391471503,10.266291260778495
2022-12-05,608.5,618.0,607.549988,617.299988,605.532959,11585602,66.44416517173248,9.349836405816063,-0.7331638839699455,10.083000289786009
2022-12-06,614.75,619.799988,607.799988,608.950012,597.342163,12996244,58.84126224709226,8.863137756006267,-0.9758900270237927,9.83902778303006
2022-12-07,610.849976,612.900024,604.5,607.049988,595.478333,7613892,57.236343606309234,8.229247865061211,-1.28782393437508,9.517071799436291
2022-12-08,609.75,613.799988,607.150024,611.650024,599.990662,10020015,60.0755490574834,8.00578432241116,-1.2090299816201053,9.214814304031265
2022-12-09,614.400024,618.0,609.099976,616.5,604.74823,11202267,62.87427261004297,8.126364711247561,-0.8707596742269637,8.997124385474525
2022-12-12,614.799988,618.700012,611.0,613.049988,601.363953,9285187,59.669906659092405,7.853013748526905,-0.9152885095580956,8.768302258085
2022-12-13,613.5,617.400024,612.5,616.75,604.993469,7455415,61.911857756322135,7.844514507095823,-0.7390302007913423,8.583544707887166
2022-12-14,618.5,626.75,617.5,625.5,613.57666,14010673,66.63544412015794,8.446465078543383,-0.10966370347502696,8.55612878201841
2022-12-15,625.549988,629.549988,614.299988,615.950012,604.20874,10622271,58.15789686976879,8.060000357272543,-0.396902739796694,8.456903097069237
2022-12-16,612.0,615.599976,602.099976,603.349976,591.848877,9435071,49.25434811111384,6.660231674142551,-1.4373371383413485,8.0975688124839
2022-12-19,604.0,609.5,603.0,604.450012,592.927917,8322012,49.974404504910865,5.575398891928103,-2.0177359364446374,7.59313482837274
2022-12-20,603.0,606.5,599.549988,604.450012,592.927917,6753785,49.97440450491086,4.6619213686326475,-2.3449707677920744,7.006892136424722
2022-12-21,605.900024,609.150024,589.599976,593.400024,582.088562,9217253,42.88517359334095,3.0116260171203066,-3.1962128954435327,6.207838912563839
2022-12-22,597.0,599.0,587.549988,593.400024,582.088562,8740149,42.88517359334095,1.6843390492161916,-3.618799890678119,5.3031389398943105
2022-12-23,590.0,590.700012,571.5,574.0,563.05835,13047046,33.274173197541685,-0.9223331569676247,-4.980377677489549,4.058044520521924
2022-12-26,574.0,601.700012,570.700012,597.099976,585.718018,13201587,48.169253035038516,-1.1113536585991142,-4.135518543296831,3.0241648846977163
2022-12-27,600.400024,603.099976,593.299988,601.900024,590.426575,9638618,50.635206794130845,-0.8638718332836106,-3.1104293743850615,2.246557541101451
2022-12-28,600.900024,607.0,598.549988,601.049988,589.592712,7988631,50.17990047438532,-0.7279402626428464,-2.3795982429954377,1.6516579803525915
2022-12-29,600.0,618.0,597.150024,611.799988,600.137817,20130392,55.6153974048697,0.2444043042424937,-1.1258029408880783,1.370207245130572
2022-12-30,615.25,620.549988,611.349976,613.700012,602.001587,13052895,56.518372477270404,1.154996357451978,-0.1721687101428755,1.3271650675948534
2023-01-02,614.950012,619.200012,611.200012,612.200012,600.530212,6726084,55.55741904261156,1.7356027084570087,0.3267501126897241,1.4088525957672846
2023-01-03,614.5,616.599976,610.0,612.400024,600.726379,6818062,55.66566268411462,2.1866701491767344,0.6222540427275598,1.5644161064491746
2023-01-04,611.849976,614.950012,604.0,605.200012,593.663635,7011191,50.86315297602748,1.9407913161315946,0.30110016774593595,1.6396911483856587
2023-01-05,607.0,611.599976,601.950012,605.099976,593.565491,8241475,50.79757897803165,1.7180538450435279,0.06269015732629524,1.6553636877172326
2023-01-06,607.400024,607.450012,597.0,600.650024,589.200378,7972036,47.84277651544567,1.168983543250306,-0.3891041155735415,1.5580876588238475
2023-01-09,605.0,609.0,600.099976,607.700012,596.115967,8878905,52.551721661723825,1.2878707137172114,-0.21617355608530908,1.5040442698025205
2023-01-10,608.450012,609.0,590.599976,595.150024,583.805237,10622660,44.798042586563774,0.3652006995392867,-0.911074856210587,1.2762755557498737
2023-01-11,596.450012,599.5,592.25,596.700012,585.325684,7419630,45.86048390312949,-0.23820497766041626,-1.211584426728232,0.9733794490678157
2023-01-12,597.900024,597.900024,590.099976,594.900024,583.559998,8183715,44.782566677712126,-0.8518329130429265,-1.460169889688594,0.6083369766456673
2023-01-13,597.900024,602.900024,593.650024,600.099976,588.660828,7877610,48.54516112388963,-0.9080770571399626,-1.213131227028504,0.30505416988854134
2023-01-16,603.0,606.099976,600.599976,603.0,591.505554,5483191,50.568201485189526,-0.7104535796415803,-0.8124061996240973,0.101952619982517
2023-01-17,603.0,606.0,586.049988,592.950012,581.647156,13461999,44.09763560023901,-1.3492324781299203,-1.16094807848995,-0.18828439963997046
2023-01-18,595.900024,597.150024,587.599976,591.450012,580.17572,11538075,43.20894854664525,-1.9539825270524034,-1.4125585019299463,-0.5414240251224571
2023-01-19,591.0,591.75,587.549988,589.849976,578.606201,7475688,42.23128147648524,-2.5331601377232573,-1.59338889008064,-0.9397712476426172
2023-01-20,593.799988,596.599976,590.799988,592.200012,580.911438,6750607,44.22731702074909,-2.770596588958597,-1.4646602730527836,-1.3059363159058133
2023-01-23,598.5,601.75,592.950012,600.450012,589.00415,6604469,50.67110235398949,-2.2669288901947766,-0.7687940594311706,-1.498134830763606
2023-01-24,603.5,604.599976,593.049988,594.349976,583.020386,7609623,46.40215489788406,-2.333096056232307,-0.6679689803749609,-1.6651270758573462
2023-01-25,595.849976,595.849976,567.400024,568.700012,557.859375,25686294,33.58813504011329,-4.404499413597932,-2.1914978701924688,-2.2130015434054635
2023-01-27,568.0,568.549988,532.25,539.950012,529.65741,40163464,25.191039354231737,-8.270647349840715,-4.846116645148201,-3.424530704692514
2023-01-30,536.0,554.349976,525.200012,538.200012,527.940796,40797825,24.78486301837823,-11.34502938137166,-6.336398941343316,-5.008630440028344
2023-01-31,545.0,557.0,537.849976,553.5,542.949097,21911943,34.69842868299047,-12.403933304863244,-5.91624229186792,-6.487691012995325
2023-02-01,561.400024,565.0,499.350006,527.349976,517.297546,38218810,27.92405930196698,-15.178245321218583,-6.952443446578606,-8.225801874639977
2023-02-02,520.200012,532.650024,502.5,528.099976,518.033264,39287056,28.356087619909587,-17.119051085357682,-7.114599368574163,-10.00445171678352
2023-02-03,536.0,545.950012,519.150024,544.200012,533.826416,32317232,37.07558318701833,-17.160203144607863,-5.724601142259473,-11.43560200234839
2023-02-06,558.799988,558.799988,536.549988,545.400024,535.00354,25338586,37.68435229464969,-16.901159462885403,-4.372445968429609,-12.528713494455793
2023-02-07,548.0,551.400024,541.049988,547.099976,536.671082,16195947,38.59071741358885,-16.36999049899589,-3.0730216036320765,-13.296968895363813
2023-02-08,550.0,554.5,545.5,549.75,539.27063,15502847,40.0544470706998,-15.555881954649294,-1.8071304474283831,-13.748751507220911
2023-02-09,552.0,552.0,542.799988,550.799988,540.300598,15061047,40.65799020148369,-14.65701289050719,-0.7266091066290237,-13.930403783878166
2023-02-10,546.5,557.25,546.5,553.049988,542.50769,13824475,42.005466897972276,-13.606252080817399,0.25932136244861503,-13.865573443266014
2023-02-13,554.0,556.900024,533.299988,537.5,527.25415,18488732,35.93276607413089,-13.868404311620907,-0.0022646946839124382,-13.866139616936994
2023-02-14,539.950012,544.599976,530.75,540.849976,530.540222,18559909,38.011891895284094,-13.648515189753311,0.17409954174694597,-13.822614731500257
2023-02-15,540.0,544.650024,536.799988,542.25,531.913574,12796579,38.904240065824794,-13.20901592686846,0.4908790437054389,-13.699894970573899
2023-02-16,546.849976,546.849976,538.5,540.099976,529.804504,12767016,37.99955590352471,-12.88566068754983,0.651387426419257,-13.537048113969087
2023-02-17,538.5,539.650024,527.75,531.0,520.878052,14192008,34.35782890285317,-13.211398563439275,0.26051964042385123,-13.471918203863126
2023-02-20,532.0,533.950012,522.150024,525.150024,515.139587,12570032,32.220092426388476,-13.782713804510081,-0.24863648051756293,-13.534077323992518
2023-02-21,527.099976,528.950012,522.400024,523.450012,513.471985,10223218,31.60468531351077,-14.208870989913066,-0.5398349327364365,-13.66903605717663
2023-02-22,520.75,521.900024,512.5,516.349976,506.507263,14763050,29.104410298744895,-14.947215007081581,-1.0225431599239592,-13.924671847157622
2023-02-23,516.950012,524.0,511.350006,521.0,511.068634,15535085,32.8511556760062,-14.984408946377926,-0.8477896793762412,-14.136619267001684
2023-02-24,524.200012,527.5,517.599976,521.049988,511.117676,12253035,32.89221417994161,-14.838799355269657,-0.5617440706143775,-14.27705528465528
2023-02-27,521.099976,529.799988,519.0,527.700012,517.64093,11048799,38.29739483756599,-14.025128395224442,0.20154151154467037,-14.226669906769112
2023-02-28,527.25,528.450012,521.049988,522.799988,512.834351,15768010,35.99669675002847,-13.61869148470214,0.48638273765357987,-14.10507422235572
2023-03-01,523.25,537.400024,523.099976,536.700012,526.46936,13510198,45.92140647401699,-12.036225421077006,1.6550790410229723,-13.691304462099978
2023-03-02,535.950012,539.900024,532.5,533.75,523.575623,10376913,44.349603584501104,-10.89456521258353,2.237391399613161,-13.13195661219669
2023-03-03,542.0,564.299988,541.75,561.200012,550.50238,27656538,58.56243410856797,-7.686202949945141,4.356602929801241,-12.042805879746382
2023-03-06,564.900024,567.900024,559.0,561.700012,550.992859,16162268,58.76899513529158,-5.04505071625465,5.598204130793386,-10.643254847048036
2023-03-08,560.0,565.5,556.450012,564.799988,554.033691,12637578,60.0970977808557,-2.670986912465878,6.377814347665726,-9.048801260131604
2023-03-09,564.75,565.75,558.0,558.900024,548.246216,8993423,56.37514299980573,-1.2511792153381975,6.238097635834726,-7.4892768511729235
2023-03-10,553.099976,554.950012,545.0,547.349976,536.916321,11522371,49.864443111684125,-1.0459071652770717,5.154695748716682,-6.2006029139937535
2023-03-13,547.0,553.150024,528.450012,530.0,519.897095,14373729,42.014919063179576,-2.25720598457076,3.1547175435383945,-5.4119235281091544
2023-03-14,527.650024,532.799988,520.0,525.400024,515.384766,14750800,40.20773124554401,-3.547455783338478,1.4915741958165416,-5.0390299791550195
2023-03-15,529.799988,532.0,515.549988,517.549988,507.684387,11282329,37.26216616149414,-5.144122106779491,-0.08407370209957676,-5.060048404679915
