Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2023-01-31,,1568.800049,0.02,1
2023-02-01,,1567.6840480199999,0.02,0
2023-02-02,1513.0,,0.02,1
2023-02-03,1514.47899902,,0.04,0
2023-02-06,1518.0858400191998,,0.04,0
2023-02-07,1521.5484073784319,,0.04,0
2023-02-08,1524.8724720432947,,0.04,0
2023-02-09,1528.0635741215629,,0.06,0
2023-02-10,1533.564759674269,,0.06,0
2023-02-13,1538.7358740938128,,0.06,0
2023-02-14,1543.596721648184,,0.06,0
2023-02-15,1548.165918349293,,0.06,0
2023-02-16,1552.4609632483355,,0.06,0
2023-02-17,1556.4983054534353,,0.06,0
2023-02-20,1560.293407126229,,0.06,0
2023-02-21,1563.8608026986553,,0.06,0
2023-02-22,,1619.75,0.02,1
2023-02-23,,1618.46100098,0.04,0
2023-02-24,,1615.6485619008001,0.06,0
2023-02-27,,1611.409648186752,0.08,0
2023-02-28,,1602.6568763318119,0.1,0
2023-03-01,,1590.5211935986306,0.1,0
2023-03-02,,1579.5990791387676,0.12000000000000001,0
2023-03-03,,1566.1231955221156,0.12000000000000001,0
2023-03-06,,1554.2644179394617,0.12000000000000001,0
2023-03-08,,1543.8286936667264,0.12000000000000001,0
2023-03-09,,1534.6452563067191,0.12000000000000001,0
2023-03-10,,1526.5638314299129,0.14,0
2023-03-13,,1516.915898389725,0.16,0
2023-03-14,,1502.689354647369,0.18,0
2023-03-15,,1486.1852708108427,0.18,0
2023-03-16,,1472.651922064891,0.19999999999999998,0
2023-03-17,,1457.8615278519128,0.19999999999999998,0
2023-03-20,,1446.0292124815303,0.2,0
2023-03-21,,1442.900024,0.2,0
2023-03-22,,1431.2900144,0.2,0
2023-03-23,,1421.46201632,0.2,0
2023-03-24,,1411.169613056,0.2,0
2023-03-27,,1402.9356904448,0.2,0
2023-03-28,1370.0,,0.02,1
2023-03-29,,1398.0,0.02,1
2023-03-31,1364.550049,,0.02,1
2023-04-03,1364.550049,,0.04,0
2023-04-05,1367.36804704,,0.04,0
2023-04-06,1370.0733251584,,0.04,0
2023-04-10,1372.6703921520639,,0.04,0
2023-04-11,1375.1635764659814,,0.04,0
2023-04-12,1377.557033407342,,0.04,0
2023-04-13,1379.8547520710483,,0.04,0
2023-04-17,,1435.0,0.02,1
2023-04-18,,1430.00600098,0.02,0
2023-04-19,,1425.1118819404,0.02,0
2023-04-20,,1420.315645281592,0.02,0
2023-04-21,,1415.61533335596,0.02,0
2023-04-24,,1411.0090276688409,0.02,0
2023-04-25,,1406.494848095464,0.02,0
2023-04-26,,1402.0709521135548,0.02,0
2023-04-27,,1397.7355340512836,0.02,0
2023-04-28,,1393.4868243502578,0.02,0
2023-05-02,,1389.3230888432527,0.02,0
2023-05-03,,1385.2426280463876,0.02,0
2023-05-04,,1381.2437764654599,0.02,0
2023-05-05,,1377.3249019161506,0.02,0
2023-05-08,,1373.4844048578275,0.02,0
2023-05-09,,1369.720717740671,0.02,0
2023-05-10,,1366.0323043658577,0.02,0
2023-05-11,,1362.4176592585407,0.02,0
2023-05-12,,1358.8753070533699,0.02,0
2023-05-15,,1355.4038018923025,0.02,0
2023-05-16,,1352.0017268344563,0.02,0
2023-05-17,,1348.6676932777673,0.02,0
2023-05-18,,1345.400340392212,0.02,0
2023-05-19,,1342.1983345643678,0.02,0
2023-05-22,,1339.0603688530805,0.02,0
2023-05-23,,1335.9851624560188,0.02,0
2023-05-24,,1332.9714601868984,0.02,0
2023-05-25,,1330.0180319631604,0.02,0
2023-05-26,,1327.1236723038971,0.02,0
2023-05-29,1185.300049,,0.02,1
2023-05-30,1188.2480470399998,,0.02,0
2023-05-31,1191.1370851191998,,0.02,0
2023-06-01,1193.9683424368159,,0.02,0
2023-06-02,1196.7429746080795,,0.02,0
2023-06-05,1199.462114135918,,0.02,0
2023-06-06,1202.1268708731996,,0.02,0
2023-06-07,1204.7383324757357,,0.02,0
2023-06-08,1207.297564846221,,0.02,0
2023-06-09,1209.8056125692965,,0.02,0
2023-06-12,1212.2634993379106,,0.02,0
2023-06-13,1214.6722283711524,,0.02,0
2023-06-14,1217.0327828237293,,0.02,0
2023-06-15,1219.3461261872549,,0.02,0
2023-06-16,1221.6132026835098,,0.02,0
2023-06-19,1223.8349376498397,,0.02,0
2023-06-20,1226.0122379168429,,0.02,0
2023-06-21,1228.145992178506,,0.02,0
2023-06-22,1230.237071354936,,0.02,0
2023-06-23,1232.2863289478373,,0.02,0
2023-06-26,1234.2946013888807,,0.02,0
2023-06-27,1236.262708381103,,0.02,0
2023-06-28,1238.191453233481,,0.02,0
2023-06-30,1240.0816231888114,,0.04,0
2023-07-03,1244.034359221259,,0.06,0
2023-07-04,1250.1522976679835,,0.06,0
2023-07-05,1255.9031598079046,,0.08,0
2023-07-06,1264.0669031032721,,0.08,0
2023-07-07,1271.5775469350103,,0.08,0
2023-07-10,1278.4873392602094,,0.08,0
2023-07-11,1284.8443481993927,,0.08,0
2023-07-12,1290.6927964234412,,0.08,0
2023-07-13,1296.0733687895658,,0.1,0
2023-07-14,1304.1460368106093,,0.12000000000000001,0
2023-07-17,1319.2485123933361,,0.14,0
2023-07-18,1338.8067137982691,,0.16,0
2023-07-19,1361.069631750546,,0.18,0
2023-07-20,1385.8611068554478,,0.18,0
2023-07-21,,1498.800049,0.02,1
2023-07-24,,1494.9240480199999,0.02,0
2023-07-25,,1491.1255670596,0.02,0
2023-07-26,,1487.4030557184078,0.02,0
2023-07-27,,1483.7549946040397,0.02,0
2023-07-28,,1480.179894711959,0.02,0
2023-07-31,,1476.6762968177197,0.02,0
2023-08-01,,1473.2427708813652,0.02,0
2023-08-02,,1469.877915463738,0.02,0
2023-08-03,,1466.5803571544632,0.02,0
2023-08-04,,1463.3487500113738,0.02,0
2023-08-07,,1460.1817750111463,0.02,0
2023-08-08,,1457.0781395109234,0.02,0
2023-08-09,,1454.036576720705,0.02,0
2023-08-10,,1451.0558451862908,0.02,0
2023-08-11,,1448.134728282565,0.02,0
2023-08-14,,1445.2720337169137,0.02,0
2023-08-16,,1442.4665930425754,0.02,0
2023-08-17,,1439.7172611817239,0.02,0
2023-08-18,,1437.0229159580895,0.02,0
2023-08-21,,1434.3824576389277,0.02,0
2023-08-22,,1431.7948084861491,0.02,0
2023-08-23,,1429.2589123164262,0.02,0
2023-08-24,,1426.7737340700976,0.02,0
2023-08-25,,1425.050049,0.02,0
2023-08-28,1305.0,,0.02,1
2023-08-29,1307.39600098,,0.02,0
2023-08-30,1309.7440819404,,0.04,0
2023-08-31,1314.8203196227842,,0.06,0
2023-09-01,1322.625101885417,,0.08,0
2023-09-04,1332.4950937345836,,0.1,0
2023-09-05,1346.2455843611253,,0.12000000000000001,0
2023-09-06,1362.3021201177903,,0.14,0
2023-09-07,1379.1858266612996,,0.14,0
2023-09-08,1393.7058142887176,,0.14,0
2023-09-11,1406.1930036482972,,0.14,0
