Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACDcolumn,MACD_Signal,MACD_Histogram
2022-09-12,891.200012,895.150024,885.099976,887.700012,877.979309,1571387,,,,
2022-09-13,889.849976,893.299988,883.5,890.150024,880.402527,2216354,,,,
2022-09-14,884.599976,897.700012,880.049988,883.75,874.072571,1889322,,,,
2022-09-15,883.0,888.150024,871.099976,874.299988,864.726013,1780723,,,,
2022-09-16,878.700012,890.5,865.799988,868.049988,858.544495,5625488,,,,
2022-09-19,872.400024,876.950012,856.799988,874.849976,865.27002,1920725,,,,
2022-09-20,877.549988,914.75,876.799988,911.950012,901.963806,4408042,,,,
2022-09-21,918.549988,922.5,902.650024,905.299988,895.386597,4153228,,,,
2022-09-22,899.900024,911.25,895.299988,908.0,898.057007,2317690,,,,
2022-09-23,902.599976,926.700012,902.599976,921.099976,911.01355,4802181,,,,
2022-09-26,917.950012,926.349976,899.049988,900.700012,890.836975,3760536,,,,
2022-09-27,905.25,909.849976,894.400024,897.150024,887.325867,3096645,,,,
2022-09-28,894.0,926.0,892.049988,917.849976,907.799133,5559336,,,,
2022-09-29,925.099976,955.5,925.099976,930.700012,920.508484,8519098,,,,
2022-09-30,933.950012,950.950012,930.0,948.650024,938.261902,4182345,72.43080169169158,,,
2022-10-03,952.950012,967.849976,942.75,944.5,934.157349,4444578,69.72564488385503,,,
2022-10-04,955.700012,956.299988,943.049988,944.549988,934.206787,1856830,69.7403048692225,,,
2022-10-06,954.700012,962.0,947.549988,953.900024,943.454407,3449485,72.42957428784175,,,
2022-10-07,953.0,961.549988,946.200012,955.150024,944.690735,1762328,72.77788991887415,,,
2022-10-10,945.950012,954.25,935.25,946.049988,935.690369,1683827,66.21900619651167,,,
2022-10-11,950.799988,951.900024,940.0,944.75,934.404602,2426935,65.31345286612175,,,
2022-10-12,946.0,960.0,941.049988,955.549988,945.086365,2875040,69.0946836103153,,,
2022-10-13,956.849976,973.75,951.5,968.400024,957.795654,4498223,72.88248924695017,,,
2022-10-14,976.0,979.900024,964.0,976.299988,965.60907,3307000,74.91777764428281,,,
2022-10-17,976.299988,985.0,973.299988,980.0,969.268555,2647369,75.83266495177364,,,
2022-10-18,983.75,985.0,972.75,978.349976,967.636658,2065146,74.52713208346908,30.682345000431155,,
2022-10-19,975.599976,980.700012,965.049988,976.900024,966.202576,2424533,73.33238670515904,30.047850671633796,,
2022-10-20,970.0,982.849976,966.549988,980.349976,969.614746,1669666,74.38460562680206,29.483523927742567,,
2022-10-21,981.0,991.900024,975.75,977.700012,966.993774,1791608,72.0335212879564,28.493999875659824,,
2022-10-24,986.0,989.950012,982.099976,987.0,976.191956,191840,75.01782173679716,28.135893181000597,,
2022-10-25,991.950012,997.349976,985.5,991.549988,980.692078,2119595,76.3476385238298,27.89765030420483,,
2022-10-27,999.0,1013.400024,992.5,1011.650024,1000.572021,4379157,81.12703369021519,28.996492514074703,,
2022-10-28,1002.0,1003.5,987.549988,990.0,979.159058,3934980,65.72220743598471,27.799896974638614,,
2022-10-31,994.950012,1027.300049,991.200012,1016.900024,1005.764587,3546309,72.66697704125473,28.691456264543262,-0.2228891481155557,28.914345412658818
2022-11-01,1021.950012,1049.0,1019.150024,1036.599976,1025.248779,5264069,76.43272724458572,30.634509357607612,1.3761311559590332,29.25837820164858
2022-11-02,1038.800049,1070.949951,1032.650024,1051.949951,1040.430664,5923662,78.87496765263698,33.03223261448011,3.0190835302652204,30.013149084214888
2022-11-03,1045.0,1055.599976,1039.550049,1044.199951,1032.765503,2386317,74.66778776022095,33.916121404172486,3.1223778559660786,30.793743548206407
2022-11-04,1045.300049,1046.400024,1031.449951,1039.900024,1028.512695,1576349,72.36155136960434,33.879104240493575,2.4682885538297334,31.41081568666384
2022-11-07,1045.0,1049.949951,1021.0,1028.349976,1017.089111,2853521,66.42656505744687,32.54264418073967,0.9054627952606609,31.63718138547901
2022-11-09,1020.049988,1036.650024,1010.0,1013.549988,1002.451233,2268760,59.672736048366694,29.944077921038,-1.35448277155281,31.29856069259081
2022-11-10,1010.0,1022.299988,1006.75,1010.650024,999.583008,2419991,58.4193611414191,27.335584972029096,-3.170380576449375,30.50596554847847
