Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram
2023-01-12,3642.5,3679.0,3612.0,3647.199951,3643.55542,1199785,36.38305828620684,-54.927781437764224,-23.448044782319297,-31.479736655444928
2023-01-13,3651.199951,3736.050049,3642.199951,3721.149902,3717.431396,1364712,42.992940668667856,-54.39416991905546,-18.331546610888424,-36.06262330816703
2023-01-16,3720.0,3739.949951,3600.0,3619.800049,3616.182861,1863848,37.27649670800322,-61.441110194493376,-20.30278950906107,-41.138320685432305
2023-01-17,3620.0,3649.600098,3560.199951,3639.350098,3635.713379,1668381,38.96241133136639,-64.70248558756339,-18.851331921704862,-45.851153665858526
2023-01-18,3648.0,3648.0,3527.100098,3596.699951,3593.105713,3652240,36.64813850347379,-69.9226348945258,-19.257184982933822,-50.66544991159198
2023-01-19,3470.0,3537.699951,3426.699951,3463.550049,3460.088867,3696319,30.547803094896665,-83.83730092255064,-26.53748080876693,-57.29982011378371
2023-01-20,3450.0,3477.350098,3440.949951,3456.149902,3452.696045,1510258,30.246460493610257,-94.37401907074627,-29.659359165570038,-64.71465990517623
2023-01-23,3443.050049,3460.0,3412.550049,3436.350098,3432.91626,974857,29.41049544771315,-103.13326672450876,-30.734885455466014,-72.39838126904274
2023-01-24,3447.449951,3508.0,3430.0,3442.0,3438.560303,1518123,30.004986561245154,-108.36991282675035,-28.777225246166083,-79.59268758058427
2023-01-25,3422.0,3428.0,3315.0,3388.949951,3385.563477,3686439,27.650292336477897,-115.46962621367129,-28.701550906469606,-86.76807530720168
2023-01-27,3335.0,3346.5,2712.0,2761.449951,2758.69043,14764368,13.82747469569026,-169.7731666026989,-66.40407303639776,-103.36909356630113
2023-01-30,2850.0,3037.550049,2665.0,2892.850098,2889.959229,20947906,22.557997119975663,-199.90187550461314,-77.2262255506496,-122.67564995396354
2023-01-31,2980.0,3073.600098,2906.0,2973.899902,2970.927979,11568020,27.44117404933529,-214.7633938351196,-73.67019510492483,-141.09319873019476
2023-02-01,2995.0,3010.75,1941.199951,2135.350098,2133.216309,13525314,16.117534015534584,-290.8524493267114,-119.80740047721329,-171.0450488494981
2023-02-02,2348.850098,2348.850098,1494.75,1565.25,1563.685791,34474080,12.377845956728835,-392.62989436056023,-177.2678764088497,-215.36201795171053
2023-02-03,1490.0,1679.900024,1017.450012,1586.800049,1585.214355,43885579,13.197724876459146,-466.17655087015055,-200.651626334752,-265.52492453539855
2023-02-06,1575.0,1615.0,1435.199951,1572.699951,1571.128418,19308603,13.111279964102977,-519.6108160572071,-203.26871321744682,-316.3421028397603
2023-02-07,1571.0,1962.699951,1525.599976,1802.949951,1801.148193,19188072,22.085947187662086,-537.1862566902887,-176.6753230804227,-360.510933609866
2023-02-08,1869.849976,2222.149902,1840.849976,2164.25,2162.087158,19173006,33.66449422298643,-516.0127517767169,-124.40145453348066,-391.6112972432362
2023-02-09,2168.0,2168.0,1731.400024,1925.699951,1923.775513,18279862,30.44726014839845,-512.5729697643546,-96.76933801689472,-415.8036317474599
2023-02-10,1769.0,1990.0,1733.150024,1846.949951,1845.104248,11334878,29.446789719647118,-510.31874773456275,-75.61209278968221,-434.70665494488054
2023-02-13,1850.0,1921.699951,1662.25,1717.650024,1715.933594,12210940,27.82983073406484,-513.0515451900296,-62.675912196119214,-450.3756329939104
2023-02-14,1735.0,1889.0,1611.349976,1749.699951,1747.951416,14579030,28.872418298606704,-506.7891952284717,-45.130849787649026,-461.6583454408227
2023-02-15,1780.0,1824.400024,1750.0,1779.099976,1777.322144,7636578,29.8732109529989,-493.76211910214056,-25.683018929054242,-468.0791001730863
2023-02-16,1820.0,1874.949951,1790.0,1796.599976,1794.804565,5578515,30.500063659093957,-476.53279029544683,-6.7629520978883875,-469.76983819755844
2023-02-17,1800.0,1815.849976,1703.199951,1722.699951,1720.978394,5392513,29.308634154098925,-463.49861399053907,5.016979365615498,-468.51559335615457
2023-02-20,1650.0,1685.0,1560.5,1621.449951,1619.82959,6762330,27.711425683381812,-456.0815400879412,9.947242614570712,-466.02878270251193
2023-02-21,1626.0,1644.449951,1561.300049,1571.099976,1569.529907,5571915,26.9256103613676,-449.089454094875,13.551462886109562,-462.64091698098457
2023-02-22,1535.0,1560.0,1381.199951,1404.849976,1403.446045,10606476,24.459274220428483,-451.75560376874205,8.708250569794075,-460.4638543385361
2023-02-23,1380.0,1438.0,1350.0,1382.650024,1381.268311,8907540,24.14127794651501,-450.4671918064587,7.997330025661995,-458.4645218321207
