,ISA_9,ISB_26
2023-09-12,2467.699951,2456.6500244999997
2023-09-13,2473.25,2381.625
2023-09-14,2473.25,2381.625
2023-09-15,2477.2750244999997,2373.4000244999997
2023-09-18,2486.5,2370.4000244999997
2023-09-19,2486.5,2370.4000244999997
2023-09-20,2473.76251225,2370.4000244999997
2023-09-21,2473.76251225,2370.4000244999997
2023-09-22,2473.76251225,2370.4000244999997
2023-09-25,2517.98748775,2414.625
2023-09-26,2517.98748775,2414.625
2023-09-27,2558.3375244999997,2442.1500244999997
2023-09-28,2560.0374755000003,2442.8499755000003
2023-09-29,2560.0374755000003,2442.8499755000003
2023-10-02,2560.0374755000003,2442.8499755000003
2023-10-03,2565.02496325,2442.8499755000003
2023-10-04,2571.7249755000003,2442.8499755000003
2023-10-05,2572.46246325,2442.8499755000003
2023-10-06,2553.074951,2442.8499755000003
2023-10-09,2551.199951,2442.8499755000003
2023-10-10,2551.199951,2442.8499755000003
2023-10-11,2523.8499755000003,2442.8499755000003
2023-10-12,2516.0999755000003,2442.8499755000003
2023-10-13,2516.0999755000003,2447.7249755000003
2023-10-16,2506.3499755000003,2496.699951
2023-10-17,2528.1624755000003,2503.4249265
