Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,786.799988,,0.04,0,801.0
2022-09-14,786.799988,,0.06,0,801.18199952
2022-09-15,,811.349976,0.02,1,805.549988
2022-09-16,,811.349976,0.04,0,805.23898824
2022-09-19,,809.939976,0.04,0,804.6014282304001
2022-09-20,776.099976,,0.02,1,789.299988
2022-09-21,776.90197672,,0.02,0,789.76898824
2022-09-22,777.6879374256,,0.02,0,812.75
2022-09-23,,816.200012,0.02,1,812.27900024
2022-09-26,,815.1610117600001,0.04,0,810.5318392703999
2022-09-27,,812.1945712896,0.06,0,806.455927474176
2022-09-28,,807.2928970122241,0.08,0,800.9394532762419
2022-09-29,,799.3254662112462,0.08,0,792.4905091486178
2022-09-30,,791.9954298743465,0.08,0,783.3656494907837
2022-10-03,,785.2517964443988,0.08,0,773.997460242074
2022-10-04,,779.0476536888469,0.08,0,764.7898685233422
2022-10-06,,773.3398423537392,0.08,0,756.0886943491406
2022-10-07,,768.0886559254401,0.08,0,716.450012
2022-10-10,707.700012,,0.02,1,719.590012
2022-10-11,709.120012,,0.04,0,725.3160084
2022-10-12,712.5752115199999,,0.06,0,732.5440859519999
2022-10-13,718.4686981087999,,0.08,0,743.2059155987199
2022-10-14,726.187203220096,,0.1,0,753.6849710229247
2022-10-17,735.6384840980863,,0.1,0,763.5876783987983
2022-10-18,744.1446368882777,,0.12000000000000001,0,773.7001475190386
2022-10-19,753.5952833416843,,0.14,0,782.2301132152309
2022-10-20,765.4749453538485,,0.14,0,791.7540857721847
2022-10-21,775.6914546843097,,0.16,0,799.3732638177478
2022-10-24,796.5408219348202,,0.18,0,819.5786158541982
2022-10-25,818.4844761465525,,0.18,0,837.5528950833586
2022-10-27,836.4782726001731,,0.19999999999999998,0,851.9323184666869
2022-10-28,853.1726204801384,,0.19999999999999998,0,864.5758595733495
2022-10-31,866.5280987841107,,0.19999999999999998,0,874.6906924586796
2022-11-01,,919.950012,0.02,1,915.150024
2022-11-02,,918.93101176,0.04,0,914.28202352
2022-11-03,,916.6377703296,0.06,0,912.2527420992001
2022-11-04,,912.999504109824,0.06,0,909.3305768532481
2022-11-07,,909.5795338632346,0.06,0,905.6681297449883
2022-11-09,,906.3647618314405,0.06,0,901.4563155704894
