Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram
2022-09-12,419.850006,424.399994,418.049988,422.0,420.963135,5839212,,,,
2022-09-13,424.899994,426.0,421.5,422.649994,421.611542,4704167,,,,
2022-09-14,409.0,422.700012,409.0,416.299988,415.27713,8791982,,,,
2022-09-15,419.700012,420.899994,413.25,415.049988,414.030212,5320157,,,,
2022-09-16,412.75,412.75,400.200012,401.649994,400.663116,10096243,,,,
2022-09-19,405.0,406.200012,397.0,401.950012,400.962402,6792094,,,,
2022-09-20,406.0,409.399994,404.450012,404.899994,403.905151,4494911,,,,
2022-09-21,405.899994,405.899994,399.5,400.75,399.76535,9645056,,,,
2022-09-22,398.0,400.350006,395.0,397.950012,396.972229,8250162,,,,
2022-09-23,398.100006,399.399994,393.649994,394.350006,393.381073,6983355,,,,
2022-09-26,392.0,399.200012,384.600006,394.799988,393.829956,9497072,,,,
2022-09-27,396.799988,401.399994,392.0,398.399994,397.421112,6227347,,,,
2022-09-28,396.0,400.5,395.350006,398.049988,397.07196,4460795,,,,
2022-09-29,401.0,401.899994,391.549988,392.799988,391.834869,5941534,,,,
2022-09-30,392.450012,396.700012,387.5,394.25,393.281311,6785265,23.777408884525936,,,
2022-10-03,393.899994,398.0,390.600006,394.5,393.530701,4070417,24.498846647313616,,,
2022-10-04,399.950012,406.0,399.0,405.5,404.503662,6295848,47.875949209825464,,,
2022-10-06,409.350006,413.0,407.450012,410.149994,409.142242,5601939,54.31543229443319,,,
2022-10-07,409.799988,411.75,406.25,408.100006,407.09729,3790093,51.306130666918875,,,
2022-10-10,400.299988,413.5,399.75,411.299988,410.289429,9357463,55.454935205493726,,,
2022-10-11,414.899994,417.899994,402.299988,404.399994,403.406372,11361646,46.29541841436311,,,
2022-10-12,404.25,409.600006,401.600006,407.950012,406.947662,6305059,50.79819046592566,,,
2022-10-13,387.0,392.350006,378.100006,379.100006,378.168549,42448106,29.29901852844573,,,
2022-10-14,387.0,387.5,376.25,377.299988,376.372955,13932397,28.48887056159044,,,
2022-10-17,377.299988,378.950012,372.399994,375.100006,374.178375,8454769,27.488436931754904,,,
2022-10-18,383.700012,384.25,378.399994,379.299988,378.368042,11164240,32.37111680118617,-8.573907393400646,,
2022-10-19,381.200012,381.200012,377.049988,378.049988,377.121124,5099139,31.687232612230623,-9.032075346465035,,
2022-10-20,377.0,382.600006,376.0,381.5,380.562653,5934407,35.72343395973302,-9.012894576399049,,
2022-10-21,382.5,383.299988,380.200012,382.549988,381.610046,4465770,36.944508765642155,-8.81139613174446,,
2022-10-24,386.399994,386.399994,384.0,384.700012,383.754791,1736235,39.479832269182225,-8.381600323177622,,
2022-10-25,386.450012,386.450012,383.649994,384.649994,383.704895,2891628,39.440102485387875,-7.953338942412415,,
2022-10-27,386.0,386.950012,381.100006,382.649994,381.709808,5861559,37.801989269564416,-7.686714339905052,,
2022-10-28,382.799988,385.850006,382.0,383.25,382.30835,3804838,38.625565238272145,-7.342358809850509,,
2022-10-31,386.549988,388.399994,384.75,386.549988,385.60022,3319191,43.08895851473295,-6.725644080493225,1.4432370243787762,-8.168881104872002
2022-11-01,388.0,393.0,386.600006,392.399994,391.435852,5770098,50.027067521226066,-5.699150362843,1.9757845936232021,-7.674934956466202
2022-11-02,392.850006,394.850006,390.649994,393.950012,392.982056,3358307,51.70700769063038,-4.706321651147277,2.3748906442551396,-7.081212295402417
2022-11-03,389.75,393.75,385.549988,388.5,387.545441,5156238,45.868296529976604,-4.3095898952473135,2.217297920124083,-6.5268878153713965
2022-11-04,388.5,392.399994,385.649994,390.549988,389.590393,4511815,48.23603465500173,-3.7861162301376794,2.192617268186974,-5.978733498324654
2022-11-07,393.0,394.850006,387.600006,391.5,390.538086,4126299,49.34187776462886,-3.2570562334832402,2.1773418118731316,-5.434398045356372
2022-11-09,394.049988,394.399994,389.149994,390.950012,389.989441,3431273,48.693326619895,-2.8493067747540977,2.0680730164818195,-4.917379791235917
2022-11-10,388.799988,391.100006,387.0,388.899994,387.944458,2747454,46.2529484917098,-2.660908415068832,1.8051771009336681,-4.4660855160025
2022-11-11,398.5,405.850006,397.25,399.700012,398.717926,14208523,58.15203262317735,-1.621439222551146,2.2757170347610836,-3.8971562573122296
2022-11-14,402.649994,402.649994,395.549988,396.549988,395.575653,8811714,54.37108259107941,-1.0398463084982268,2.2858479590512024,-3.325694267549429
2022-11-15,398.049988,399.549988,394.0,397.149994,396.174194,6231356,54.97163188441105,-0.5244685176191979,2.2409805999441854,-2.7654491175633833
2022-11-16,399.0,401.700012,396.200012,398.25,397.271484,5519764,56.1120853908056,-0.026955883538846592,2.1907945872196293,-2.217750470758476
2022-11-17,397.899994,398.0,395.0,396.75,395.775177,3028808,54.099896711617156,0.24348228713427034,1.9689862063141972,-1.7255039191799268
2022-11-18,397.850006,398.899994,392.799988,393.850006,392.882294,4773101,50.341287819426675,0.2212507651586293,1.557403747470845,-1.3361529823122158
2022-11-21,393.850006,394.450012,387.600006,388.649994,387.695068,3952306,44.386412465375585,-0.21350424225994402,0.8981189920418176,-1.1116232343017616
2022-11-22,389.0,389.399994,384.5,388.799988,387.844696,4205414,44.5900184709507,-0.5397258322060452,0.45751792167657324,-0.9972437538826184
2022-11-23,390.75,391.950012,388.0,388.75,387.79483,3358880,44.53150530381477,-0.7931494729648989,0.16327542473417567,-0.9564248976990746
2022-11-24,389.899994,399.75,389.149994,398.25,397.271484,6685133,56.27480695030938,-0.22482726019228494,0.5852781100054318,-0.8101053701977168
2022-11-25,399.0,404.399994,395.899994,402.799988,401.810303,6824275,60.57945625938163,0.5859635704436528,1.1168551525130956,-0.5308915820694429
2022-11-28,402.799988,409.450012,402.0,405.649994,404.65329,6839600,63.03430704232953,1.4418718101676973,1.5782107137897121,-0.1363389036220149
2022-11-29,403.0,408.899994,402.899994,405.149994,404.154541,4551301,62.30129939333841,2.056137561402579,1.7539811720196754,0.3021563893829039
