Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-12-16,,347.350006,0.02,1,345.19500600000003
2022-12-19,,347.02900564,0.02,0,344.38740600000006
2022-12-20,,346.71442528719996,0.02,0,343.45866600000005
2022-12-21,,346.40613654145596,0.02,0,342.45562680000006
2022-12-22,,346.1040135706268,0.04,0,341.42583988800004
2022-12-23,,345.45585278780175,0.06,0,339.98970742592
2022-12-26,,344.24950198053364,0.06,0,337.5975622492544
2022-12-27,,343.11553222170164,0.06,0,335.4180521994035
2022-12-28,,342.0496006483995,0.06,0,326.700012
2022-12-29,,341.04762496949553,0.06,0,327.16201092
2022-12-30,,340.1057678313258,0.06,0,327.8170505264
2023-01-02,,339.22042212144623,0.06,0,328.57034607376
2023-01-03,,338.38819715415946,0.06,0,329.3839052649088
2023-01-04,,337.6059056849099,0.06,0,335.350006
2023-01-05,,336.8705517038153,0.06,0,334.84900564000003
2023-01-06,325.350006,,0.02,1,327.0
2023-01-09,325.59400564000003,,0.04,0,327.16099976
2023-01-10,326.2222449344,,0.04,0,327.5965592896
2023-01-11,326.82535465702404,,0.04,0,328.223765012224
2023-01-12,327.4043399907431,,0.04,0,329.0098628512461
2023-01-13,,341.299988,0.02,1,338.049988
2023-01-16,,341.00198811999996,0.02,0,337.86398823999997
2023-01-17,,340.7099482376,0.02,0,337.49942871039997
2023-01-18,,340.42374915284796,0.02,0,336.97446298777595
2023-01-19,,340.143274049791,0.02,0,336.3165059487539
2023-01-20,,339.86840844879515,0.02,0,335.5598553538785
2023-01-23,,339.59904015981925,0.02,0,328.75
2023-01-24,326.399994,,0.02,1,328.93
2023-01-25,326.68699412,,0.04,0,329.33080048
2023-01-27,327.2595143552,,0.06,0,329.9259524512
2023-01-30,328.554943853888,,0.08,0,331.21187625510396
2023-01-31,330.41054834557696,,0.1,0,332.6906886295936
2023-02-01,,365.700012,0.02,1,335.04980671404235
2023-02-02,329.100006,,0.02,1,338.7388329340764
2023-02-03,329.100006,,0.02,0,345.1166206246242
2023-02-06,330.21200612,,0.04,0,351.51262783219187
2023-02-07,332.5315263552,,0.04,0,357.89010106575347
2023-02-08,334.758265780992,,0.04,0,362.9920796526028
2023-02-09,336.89593562975233,,0.04,0,367.07366252208226
2023-02-10,338.94809868456224,,0.04,0,370.3389288176658
2023-02-13,340.91817521717974,,0.04,0,372.95114185413263
2023-02-14,342.8094486884925,,0.04,0,375.0409122833061
2023-02-15,344.6250712209528,,0.04,0,377.3227322266449
2023-02-16,346.3680688521147,,0.04,0,379.14818818131596
2023-02-17,348.0413465780301,,0.04,0,380.6085529450528
2023-02-20,349.64769319490887,,0.04,0,381.77684475604224
2023-02-21,351.1897859471125,,0.04,0,386.450012
2023-02-22,352.67019498922804,,0.04,0,386.28201152
2023-02-23,354.0913876696589,,0.06,0,382.25
2023-02-24,356.48590440947936,,0.06,0,382.57100036
2023-02-27,358.7367501449106,,0.06,0,387.600006
2023-02-28,360.85254513621595,,0.06,0,387.27600636
2023-03-01,362.841392428043,,0.06,0,386.4299268112
2023-03-02,364.7109088823604,,0.06,0,385.45693533008
2023-03-03,366.46825434941877,,0.06,0,375.549988
2023-03-06,368.12015908845365,,0.06,0,376.11398944
2023-03-08,369.67294954314644,,0.06,0,377.0768698048
2023-03-09,371.13257257055767,,0.06,0,378.60918222432
2023-03-10,372.5046182163242,,0.06,0,380.2640796374016
2023-03-13,373.7943411233448,,0.06,0,381.96310764816536
2023-03-14,375.0066806559441,,0.06,0,392.399994
2023-03-15,376.1462798165874,,0.06,0,391.63799508
