Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2023-03-16,,413.21653482875763,0.12000000000000001,0
2023-03-17,,412.75,0.12000000000000001,0
2023-03-20,,409.19200072,0.14,0
2023-03-21,,405.2451206192,0.14,0
2023-03-22,,401.850803732512,0.14,0
2023-03-23,381.0,,0.02,1
2023-03-24,381.39299988,,0.04,0
2023-03-27,382.1772798848,,0.04,0
2023-03-28,382.930188689408,,0.04,0
2023-03-29,383.6529811418317,,0.04,0
2023-03-31,384.34686189615843,,0.06,0
2023-04-03,385.9040494623889,,0.06,0
2023-04-05,387.3678057746456,,0.06,0
2023-04-06,388.74373670816686,,0.06,0
2023-04-10,390.03711178567687,,0.08,0
2023-04-11,391.94214332282274,,0.1,0
2023-04-12,394.5529277905405,,0.12000000000000001,0
2023-04-13,397.89457573567563,,0.14,0
2023-04-17,401.37433513268104,,0.16,0
2023-04-18,405.81844055145206,,0.18,0
2023-04-19,410.7111212521907,,0.19999999999999998,0
2023-04-20,416.03889820175254,,0.19999999999999998,0
2023-04-21,,437.350006,0.02,1
2023-04-24,,436.98300588,0.04,0
2023-04-25,,436.2376858848,0.04,0
2023-04-26,,435.522178689408,0.04,0
2023-04-27,,434.8352917818317,0.04,0
2023-04-28,418.350006,,0.02,1
2023-05-02,418.72300588,,0.04,0
2023-05-03,419.9700854048,,0.04,0
2023-05-04,421.167281748608,,0.04,0
2023-05-05,422.31659023866365,,0.04,0
2023-05-08,423.4199263891171,,0.04,0
2023-05-09,424.47912909355244,,0.04,0
2023-05-10,425.49596368981037,,0.04,0
2023-05-11,,449.899994,0.02,1
2023-05-12,,449.29299388,0.04,0
2023-05-15,,447.4732736448,0.04,0
2023-05-16,,445.72634221900796,0.04,0
2023-05-17,,444.04928805024764,0.04,0
2023-05-18,,442.43931604823774,0.04,0
2023-05-19,,440.8937429263082,0.06,0
2023-05-22,,438.46411799072973,0.06,0
2023-05-23,,436.18027055128596,0.06,0
2023-05-24,,434.0334539582088,0.06,0
2023-05-25,,432.0154463607163,0.08,0
2023-05-26,,429.278209691859,0.08,0
2023-05-29,,426.7599519565103,0.08,0
2023-05-30,,425.0,0.08,0
2023-05-31,,425.0,0.08,0
2023-06-01,,422.82399904,0.08,0
2023-06-02,397.799988,,0.02,1
2023-06-05,398.28198812,,0.04,0
2023-06-06,399.3907085952,,0.04,0
2023-06-07,400.455080251392,,0.04,0
2023-06-08,401.47687704133637,,0.04,0
2023-06-09,402.4578019596829,,0.04,0
2023-06-12,403.3994898812956,,0.04,0
2023-06-13,404.3035102860438,,0.04,0
2023-06-14,405.171369874602,,0.06,0
2023-06-15,406.6610876821259,,0.06,0
2023-06-16,408.06142242119836,,0.08,0
2023-06-19,409.93250958750247,,0.1,0
2023-06-20,412.1392586287522,,0.12000000000000001,0
2023-06-21,414.67254759330194,,0.12000000000000001,0
2023-06-22,,433.25,0.02,1
2023-06-23,,432.90900024,0.04,0
2023-06-26,,431.8906407104,0.04,0
2023-06-27,,430.913015561984,0.04,0
2023-06-28,,429.97449541950465,0.04,0
